year,total_pop,pop_within_5km,pct_within_5km
2003,8718715,264951,3.038876715204018
2004,8718720,429510,4.926296520590179
2005,8718720,465697,5.3413459773911764
2006,8718720,475467,5.453403710636423
2007,8718720,479972,5.505074139323203
2008,8718720,483714,5.54799328341775
2009,8718720,476204,5.461856786317258
2010,8718715,486451,5.579388705789786
2011,8718715,495473,5.682867257388273
2012,8718715,513028,5.8842157359198
2013,8718715,517779,5.938707710941348
2014,8718715,504360,5.7847974156742135
2015,8718720,501878,5.756326616751083
2016,8822651,514739,5.834289489632991
2017,8926389,500202,5.603632107003179
2018,9029588,519902,5.757759933232834
2019,9130455,548601,6.0084738383793574
2020,9233617,852624,9.23391126142659
2021,9325702,932703,10.001424021483851
2022,9402386,1071499,11.396032879313825
2023,9486523,1176619,12.403058528398656
2024,9576936,1195565,12.483794399377839
