dsei,polo_base,year,birth_total_live_births,child_mort_imr,child_mort_congenital_Q_per1k,child_mort_circulatory_I_per1k,child_mort_endocrine_E_per1k,child_mort_external_VWXY_per1k
ALAGOAS E SERGIPE,ACONÃ,2000,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2001,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2002,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2005,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2007,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2008,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2009,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2010,3,0,0,0,0,0
ALAGOAS E SERGIPE,ACONÃ,2011,1,0,0,0,0,0
ALAGOAS E SERGIPE,ACONÃ,2012,2,0,0,0,0,0
ALAGOAS E SERGIPE,ACONÃ,2013,2,0,0,0,0,0
ALAGOAS E SERGIPE,ACONÃ,2014,4,250,0,0,0,0
ALAGOAS E SERGIPE,ACONÃ,2015,1,0,0,0,0,0
ALAGOAS E SERGIPE,ACONÃ,2016,3,0,0,0,0,0
ALAGOAS E SERGIPE,ACONÃ,2017,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2018,1,0,0,0,0,0
ALAGOAS E SERGIPE,ACONÃ,2019,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2020,5,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2021,2,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,ACONÃ,2022,1,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2000,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2001,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2002,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2005,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2007,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2008,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2009,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2010,51,39.21568627450981,0,0,19.607843137254903,0
ALAGOAS E SERGIPE,JERIPANKÓ,2011,50,20,20,0,0,0
ALAGOAS E SERGIPE,JERIPANKÓ,2012,32,31.25,0,0,31.25,0
ALAGOAS E SERGIPE,JERIPANKÓ,2013,39,51.28205128205128,25.64102564102564,0,25.64102564102564,0
ALAGOAS E SERGIPE,JERIPANKÓ,2014,36,27.777777777777775,0,27.777777777777775,0,0
ALAGOAS E SERGIPE,JERIPANKÓ,2015,32,62.5,0,0,0,0
ALAGOAS E SERGIPE,JERIPANKÓ,2016,36,0,0,0,0,0
ALAGOAS E SERGIPE,JERIPANKÓ,2017,46,0,0,0,0,0
ALAGOAS E SERGIPE,JERIPANKÓ,2018,49,40.81632653061224,0,0,0,0
ALAGOAS E SERGIPE,JERIPANKÓ,2019,42,23.809523809523807,23.809523809523807,0,0,0
ALAGOAS E SERGIPE,JERIPANKÓ,2020,37,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2021,38,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,JERIPANKÓ,2022,34,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2000,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2001,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2002,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2005,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2007,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2008,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2009,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2010,13,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2011,8,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2012,9,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2013,8,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2014,16,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2015,10,100,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2016,12,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2017,12,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2018,11,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2019,16,0,0,0,0,0
ALAGOAS E SERGIPE,KALANKÓ,2020,11,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2021,9,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KALANKÓ,2022,13,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KARAPOTÓ PLAKI-Ô,2000,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KARAPOTÓ PLAKI-Ô,2001,NA,NA,NA,NA,NA,NA
ALAGOAS E SERGIPE,KARAPOTÓ PLAKI-Ô,2002,NA,NA,NA,NA,NA,NA
