seqid,year,polo,goldmine_area,malaria_api_by_polobase,population_polobase
1,2003,abacaxis,0,0,587
2,2003,abaquadi,0,18.641810918775,751
4,2003,ajarani,0,1052.63157894737,57
5,2003,ajuricaba,0,99.5475113122172,221
6,2003,alta floresta,0,3.76884422110553,796
7,2003,altamira,0.170775480407715,169.769643420637,3169
8,2003,alto catrimani,0,0,193
9,2003,alto curuçá,0,22.9591836734694,392
10,2003,alto ituí,0,12.6404494382022,712
11,2003,alto mucajai,0,12.9032258064516,465
12,2003,alto padauiri,0,0,156
14,2003,amarante,0,0.158503724837534,6309
15,2003,anamã,0,2.77008310249307,722
18,2003,apiaú,0,229.885057471264,87
21,2003,aracá,0,0,285
22,2003,arame,0,0.587889476778366,5103
23,2003,aramirã,1.30332841699219,28.9421157684631,1002
25,2003,aratha-u,0,0,508
26,2003,araticum,0,0,1602
29,2003,araçá,0,7.40242261103634,1486
30,2003,aripuanã,1.47128117053223,0,468
31,2003,assis brasil,0,9.12964090079124,1643
33,2003,auaris,0,1.73010380622837,2890
34,2003,bacaval,0,0,788
35,2003,baixo catrimani,0,21.505376344086,93
36,2003,baixo mucajai,0,66.3507109004739,211
37,2003,balawau,0,0,634
38,2003,barra do corda,0,0.183823529411765,10880
40,2003,barreira da missão,0,39.6203054065208,2423
41,2003,barro,0,14.0612076095947,1209
45,2003,belém do solimões,0,13.8683977574506,10167
46,2003,betânia,0,0.136574706364381,7322
47,2003,bismarck,0,NA,NA
48,2003,biá,0,26.6544117647059,1088
49,2003,boca do acre,0,9.41176470588235,1700
50,2003,boca do jauari,0,29.9684542586751,1902
52,2003,bona,6.41234850543212,45.1467268623025,886
54,2003,boqueirão,0,19.3333333333333,1500
56,2003,brasnorte,11.1903794237061,0,1059
58,2003,bugaio,0,49.5917750226792,3307
59,2003,buá-buá,0,12.4804992199688,641
61,2003,cachoeira do araçá,0,0,79
62,2003,cacoal,0.79662521105957,4.6535677352637,1934
64,2003,camara,0,3.33333333333333,900
65,2003,camarão,0,1.2779552715655,1565
67,2003,campinápolis,0,0,6305
68,2003,campo alegre,0,0.711237553342816,5624
69,2003,campo formoso,0,211.026615969582,526
71,2003,canadá,0,2.53592561284869,1183
72,2003,cantagalo,0,2.48447204968944,1610
73,2003,capitão poço,0,2.03252032520325,492
75,2003,caracanã,0,13.2560066280033,1207
76,2003,caraparu i,0,7.79944289693593,1795
77,2003,carauarí,0,3.37837837837838,296
78,2003,careiro castanho,0.158773184692383,21.4698596201486,1211
80,2003,caroçal do rio das tropas,38.9384404624636,415.364583333333,768
81,2003,caruru - tiquié,0,4.63499420625724,863
82,2003,caruru - uaupés,0,9.22131147540984,976
83,2003,casa nova,0,84.4594594594595,592
84,2003,cauburis,0,41.1805078929307,1457
88,2003,chico camilo,0,113.199105145414,2235
89,2003,chiquitano,0,0,497
90,2003,coari,0,72.1966205837174,1302
92,2003,confresa,0,0,634
93,2003,constantino,0,NA,NA
94,2003,corumbá,4.46853890264896,0,188
96,2003,crispim,0,108.571428571429,875
97,2003,cruzeiro do sul,0,29.3685756240822,681
98,2003,cucuí,0,0.796812749003984,1255
99,2003,cuiabá,65.2017806671756,0,2314
100,2003,cuiú-cuiú,0,37.2093023255814,1505
101,2003,cumarú,0,200.716845878136,837
102,2003,demini,0,0,145
103,2003,diauarum,0,0,1543
105,2003,eirunepé,0,58.2601755786113,2506
106,2003,envira,0,2.2075055187638,906
107,2003,ericó,0,101.769911504425,226
108,2003,estrada,0,NA,NA
110,2003,feijoal,0,1.64962058726493,6062
111,2003,feijó,0,0,3764
112,2003,filadélfia,0,1.70430336599915,7041
