year,cd_mun,Chronic_resp,Ulcer,Tuberculosis,Dermatitis,Accidents,STD,Pneumonia,HIV,Diabetes
2003,110001,33,19,1,3,1,0,273,0,2
2003,110002,22,11,6,0,0,1,235,9,52
2003,110003,2,5,0,0,0,0,24,0,17
2003,110004,8,17,0,0,0,1,481,1,85
2003,110005,9,1,0,0,0,0,18,0,7
2003,110006,37,13,1,0,0,0,150,0,21
2003,110007,1,1,0,0,0,0,12,0,1
2003,110008,0,5,1,0,0,0,31,1,19
2003,110009,6,5,1,0,0,1,130,3,17
2003,110010,42,8,1,1,0,1,278,0,30
2003,110011,30,5,7,2,0,0,330,0,84
2003,110012,102,23,4,22,4,4,763,6,76
2003,110013,21,7,6,0,0,0,89,0,6
2003,110014,4,20,0,0,0,0,254,1,2
2003,110015,53,21,2,0,1,0,287,2,22
2003,110018,19,26,0,0,0,0,45,2,5
2003,110020,72,24,117,2,0,3,778,132,140
2003,110025,46,13,0,6,0,2,128,3,42
2003,110026,1,2,0,0,0,0,21,0,3
2003,110028,96,58,0,0,0,0,211,1,59
2003,110029,1,5,0,0,0,0,188,0,16
2003,110030,72,9,0,0,0,2,222,1,70
2003,110032,6,5,2,1,0,0,136,0,23
2003,110033,4,1,2,0,0,0,57,0,2
2003,110034,3,14,3,1,0,1,147,0,44
2003,110037,3,3,0,0,0,0,31,0,1
2003,110040,1,2,0,0,0,0,48,0,2
2003,110045,3,2,2,0,0,0,20,2,1
2003,110050,5,5,0,0,0,0,150,0,1
2003,110060,2,1,0,0,0,0,48,0,7
2003,110070,12,3,0,0,0,0,82,0,0
2003,110080,5,2,7,0,0,0,43,4,8
2003,110090,11,1,0,0,0,0,22,0,1
2003,110092,7,0,0,0,0,0,34,0,2
2003,110094,1,0,2,0,0,0,47,1,2
2003,110100,4,3,1,0,0,0,101,0,11
2003,110110,2,1,0,0,0,0,30,4,1
2003,110120,0,13,0,0,0,1,94,0,10
2003,110130,2,4,0,0,0,0,74,0,1
2003,110140,2,2,0,0,0,0,142,1,2
2003,110143,1,0,0,0,0,0,58,0,3
2003,110145,0,0,0,0,0,0,28,0,1
2003,110146,3,14,0,0,0,0,29,0,1
2003,110147,2,2,0,0,0,0,54,0,0
2003,110148,5,0,0,0,0,0,12,0,2
2003,110149,8,4,1,0,0,0,26,0,2
2003,110150,1,0,1,0,0,0,89,0,1
2003,110155,5,1,0,0,1,0,78,0,3
2003,110160,1,5,2,0,0,0,46,0,5
2003,110170,3,5,0,0,0,0,23,0,1
2003,110175,1,1,0,0,0,0,37,0,4
2003,110180,3,1,1,0,0,1,63,0,6
2003,120001,5,1,0,0,0,0,7,0,1
2003,120005,0,1,0,0,0,0,5,0,1
2003,120010,1,6,2,0,0,0,33,0,1
2003,120013,0,0,1,0,0,0,14,0,1
2003,120017,0,0,0,0,0,0,15,0,4
2003,120020,16,31,2,1,0,2,476,1,19
2003,120025,0,3,1,0,0,1,10,0,0
2003,120030,1,0,7,0,0,0,27,0,1
2003,120032,0,0,0,0,0,0,1,0,0
2003,120033,3,4,0,1,0,0,52,0,0
2003,120034,0,1,3,0,0,1,73,0,2
2003,120035,1,0,1,0,0,0,11,0,1
2003,120038,7,3,3,0,0,0,95,0,4
2003,120039,1,1,0,0,0,0,15,0,2
2003,120040,280,95,100,3,0,31,1660,101,260
2003,120042,1,1,0,0,0,0,60,0,1
2003,120043,0,0,2,0,0,0,1,0,0
2003,120045,7,6,2,0,0,1,22,2,8
2003,120050,18,7,6,0,0,1,161,0,10
2003,120060,8,1,1,0,0,1,81,0,1
2003,120070,5,7,3,0,0,1,86,0,8
2003,120080,4,1,1,0,0,0,25,0,5
2003,130002,0,0,0,0,0,0,14,0,0
2003,130006,0,0,0,0,0,0,31,0,0
2003,130008,0,0,0,0,0,0,31,0,1
2003,130010,1,1,0,0,0,1,37,0,0
2003,130014,10,1,0,0,0,0,57,0,4
2003,130020,3,0,0,0,0,0,11,0,0
2003,130030,5,0,4,0,0,1,104,2,0
2003,130040,1,2,0,0,0,0,49,0,0
2003,130050,3,0,0,0,0,1,23,0,1
2003,130060,4,2,0,0,0,1,85,0,5
2003,130063,1,1,1,0,0,0,50,0,0
2003,130068,0,0,0,0,0,0,19,0,1
2003,130070,1,8,1,0,0,0,44,1,3
